Date,Close/Last,Volume,Open,High,Low
11/7/2022,$258.60 ,7927033,$261.06 ,$261.16 ,$252.09 
11/4/2022,$260.79 ,11124690,$272.02 ,$274.97 ,$255.32 
11/3/2022,$269.06 ,7057350,$271.25 ,$276.29 ,$268.80 
11/2/2022,$273 ,10367620,$286.40 ,$287.33 ,$272.84 
11/1/2022,$286.75 ,6916424,$296.17 ,$299.70 ,$286.42 
10/31/2022,$291.88 ,7505133,$295.13 ,$297.62 ,$289.50 
10/28/2022,$295.72 ,9960547,$297.70 ,$301.19 ,$292.29 
10/27/2022,$296.94 ,14612590,$298.33 ,$305.21 ,$294.78 
10/26/2022,$298.62 ,15749250,$290.04 ,$305.63 ,$288.04 
10/25/2022,$291.02 ,15100720,$286.95 ,$297.59 ,$285.55 
10/24/2022,$282.45 ,13326420,$290.23 ,$290.49 ,$280.36 
10/21/2022,$289.57 ,24889060,$268.95 ,$290.75 ,$265.68 
10/20/2022,$268.16 ,17207100,$272.78 ,$278.38 ,$266.38 
10/19/2022,$272.38 ,46685260,$265 ,$279.30 ,$262.66 
10/18/2022,$240.86 ,25776730,$249.80 ,$250.37 ,$237.73 
10/17/2022,$245.10 ,21057820,$234.41 ,$249.92 ,$234.40 
10/14/2022,$230 ,15293400,$237.80 ,$238.80 ,$229.51 
10/13/2022,$232.51 ,17505010,$212.69 ,$234.47 ,$211.73 
10/12/2022,$220.87 ,12952640,$214.30 ,$223.67 ,$212.64 
10/11/2022,$214.29 ,15282410,$226.05 ,$230.44 ,$213.70 
10/10/2022,$229.98 ,9991145,$225.64 ,$233.83 ,$224.23 
10/7/2022,$224.75 ,9806128,$235.77 ,$237.33 ,$224.28 
10/6/2022,$240.02 ,9188940,$236.68 ,$244.28 ,$233.91 
10/5/2022,$236.73 ,10825630,$238.76 ,$241.59 ,$227.38 
10/4/2022,$240.74 ,13925850,$244.84 ,$245.80 ,$233.25 
10/3/2022,$239.04 ,8657443,$237.85 ,$241.54 ,$232.85 
9/30/2022,$235.44 ,11848610,$237 ,$242.44 ,$233.26 
9/29/2022,$239.71 ,18994940,$241.61 ,$246.98 ,$235.68 
9/28/2022,$245.20 ,17579670,$229.69 ,$246.65 ,$227.38 
9/27/2022,$224.36 ,7762223,$228.63 ,$230.64 ,$220.72 
9/26/2022,$224.07 ,8234285,$225.60 ,$232.70 ,$223.01 
9/23/2022,$226.41 ,11207230,$235.14 ,$236.45 ,$221.43 
9/22/2022,$237.05 ,10017970,$235.35 ,$240.50 ,$231.66 
9/21/2022,$236.87 ,9166772,$242.67 ,$248.30 ,$236.68 
9/20/2022,$242.85 ,16037430,$240.37 ,$250.49 ,$239.66 
9/19/2022,$243.63 ,17912370,$245.05 ,$245.25 ,$235.75 
9/16/2022,$240.13 ,18914180,$231.22 ,$241.36 ,$227.83 
9/15/2022,$235.38 ,19454120,$230.47 ,$242.29 ,$229.10 
9/14/2022,$224.12 ,8230340,$219.82 ,$228 ,$215.80 
9/13/2022,$218.13 ,8000128,$226.50 ,$227.69 ,$217.72 
9/12/2022,$236.53 ,6047425,$233.61 ,$239.49 ,$233.37 
9/9/2022,$233.57 ,6702060,$229.62 ,$234.78 ,$229.62 
9/8/2022,$227.44 ,6737436,$224.16 ,$228.74 ,$221.30 
9/7/2022,$228.96 ,8149329,$220.21 ,$229.33 ,$218.27 
9/6/2022,$218.39 ,7469016,$225.59 ,$226.85 ,$214.69 
9/2/2022,$226.11 ,8164883,$231.03 ,$233.88 ,$225.04 
9/1/2022,$230.04 ,7292917,$220.72 ,$230.37 ,$219.47 
8/31/2022,$223.56 ,8615906,$227 ,$233.88 ,$223.43 
8/30/2022,$220.65 ,5740434,$226.66 ,$229.79 ,$218.74 
8/29/2022,$224.57 ,7109397,$221.93 ,$229.87 ,$221.52 
8/26/2022,$223.28 ,5349848,$233.63 ,$236.95 ,$223.15 
8/25/2022,$233.98 ,3766867,$230.24 ,$234.16 ,$229 
8/24/2022,$229.61 ,5426316,$225.66 ,$234.10 ,$223.94 
8/23/2022,$224.55 ,5276945,$226.46 ,$229.90 ,$224.30 
8/22/2022,$226.54 ,8630094,$232.55 ,$233.48 ,$224.59 
8/19/2022,$241.16 ,7504707,$240.95 ,$243.29 ,$235.68 
8/18/2022,$245.17 ,5280387,$241.96 ,$246.48 ,$239.28 
